device_id,f_batt_num_rows_battery_ni_sem_2017-01-18,f_batt_length_of_charge_minutes_ni_sem_2017-01-18
0d25f3b7-d43e-4ccf-a8ed-e1feb0aa40aa,382.0,25721.8
0d8b3688-0cba-4323-85fe-00f15785de38,34.0,28493.7
1391f4f7-4e70-4d67-92f1-db819e07c0c9,1.0,27.6326
15d016f2-a52e-4f2d-85ac-f32c2c4526db,83.0,55167.6
165de20b-6080-4f1d-9354-ec66de50263c,11.0,489.914
174bcad9-6cf8-4f97-bcc5-38a6f4c42c1d,27.0,23363.5
17c8318d-0d75-41a8-bfef-eb8c043db1fb,39.0,4159.13
182bbb8f-cd30-4958-9342-ce0c91659810,12.0,8391.14
1973b69d-5fe7-4ff7-94bb-17d5d875499f,42.0,7898.24
1a4011ac-0990-4560-8e1a-f9f07b54b7ec,21.0,4118.75
1be1f081-12eb-4151-bee7-04f39b0ada17,65.0,25882.9
1c67b4f0-964c-4aef-83a1-89a0248f80b3,122.0,23018.6
1e3ed4f9-8c22-4b96-8a5c-c324582b9860,14.0,8569.21
1e6cee1a-1bce-45b5-9cef-eab3084a5187,23.0,8413.48
1e6e0199-be64-4525-9b86-ae0038022368,49.0,23291.2
209854a0-471d-42fa-856f-54b5d1948481,59.0,78624.4
24f7d497-1c92-4372-976d-81dd15d7b1fb,23.0,35862.1
2cafda94-dca2-4401-ae3c-aa1bdf3ce6ca,121.0,32338.8
2dd9d631-d2d5-4afa-9d1f-0a3eac129ec0,110.0,-49497200.0
2ef2702c-0c30-40d8-91c0-35ad8829465b,18.0,8703.61
2fb7fbc1-068f-4a54-a8ee-a41c99d0f7da,44.0,51094.6
318f91af-9b11-42f5-bdcd-7c9e35761da5,24.0,13580.1
31c395a9-0128-46df-a90c-73160f0854b4,15.0,31591.6
3258d5c4-4f3f-4722-966a-1bd619c9229f,57.0,-24835200.0
32d4b802-7471-49bd-ad59-e663b0d98682,76.0,12721.1
34944ff7-1853-4fec-8d7d-73fc52bfa824,276.0,34228.7
36492618-666c-4b87-9770-bcb67d2ca3de,81.0,23297.6
3698dbcf-6b9e-4b00-a15a-f2cb26e6639d,77.0,6378.47
38861b6b-d04b-4f1f-8c17-c3c0a9f0a221,9.0,17740.5
38edf5e3-bd76-4ec3-b1fc-c134915743c7,23.0,15474.0
395bf3f4-ec02-494f-8f45-30ab62eda8e7,29.0,9644.64
3b9d6c27-13cc-47d9-b00e-af2e0d3d0009,77.0,68081.7
3bf51a01-8625-4c9b-a16c-24d10ccf8ae5,38.0,125271.0
3dcb435d-656f-405f-81a1-49f7eae6c25e,211.0,-24790900.0
3fa86602-fc33-4c6f-9b3e-2cebd95104ee,39.0,44787.6
3ff2b7eb-622c-4ae9-9d89-7d2af5430d34,91.0,34014.6
417abe6d-ef78-4f01-b632-844af6cb8fe7,14.0,20262.4
447a64e5-f754-4082-b0fa-0000f34eeda8,27.0,8271.45
44ff689e-4138-43cc-8f6d-2d8323125ee1,43.0,14195.1
4522b36a-6215-4768-b42a-55e79677d4ec,2.0,580.005
49b6c762-deaf-4cbf-8cb6-557ca65d395c,5.0,2048.68
4ba3ace5-f982-49c5-883a-0329d059d431,12.0,11565.8
4d4c47ec-5a3c-4c9c-b32b-83da30500857,426.0,22090.7
