device_id,f_blue_avg_num_scans_of_all_devices_of_others_mo_wkend_half_sem_2017-01-18,f_blue_avg_num_scans_of_all_devices_of_others_mo_wkend_half_sem_2017-03-01,f_blue_avg_num_scans_of_all_devices_of_self_mo_wkend_half_sem_2017-01-18,f_blue_avg_num_scans_of_all_devices_of_self_mo_wkend_half_sem_2017-03-01,f_blue_num_scans_of_least_frequent_device_mo_wkend_half_sem_2017-01-18,f_blue_num_scans_of_least_frequent_device_mo_wkend_half_sem_2017-03-01,f_blue_num_scans_of_least_frequent_device_of_others_mo_wkend_half_sem_2017-01-18,f_blue_num_scans_of_least_frequent_device_of_others_mo_wkend_half_sem_2017-03-01,f_blue_num_scans_of_least_frequent_device_of_self_mo_wkend_half_sem_2017-01-18,f_blue_num_scans_of_least_frequent_device_of_self_mo_wkend_half_sem_2017-03-01,f_blue_num_scans_of_most_frequent_device_mo_wkend_half_sem_2017-01-18,f_blue_num_scans_of_most_frequent_device_mo_wkend_half_sem_2017-03-01,f_blue_num_scans_of_most_frequent_device_of_others_mo_wkend_half_sem_2017-01-18,f_blue_num_scans_of_most_frequent_device_of_others_mo_wkend_half_sem_2017-03-01,f_blue_num_scans_of_most_frequent_device_of_self_mo_wkend_half_sem_2017-01-18,f_blue_num_scans_of_most_frequent_device_of_self_mo_wkend_half_sem_2017-03-01,f_blue_number_samples_bluetooth_mo_wkend_half_sem_2017-01-18,f_blue_number_samples_bluetooth_mo_wkend_half_sem_2017-03-01,f_blue_number_unique_devices_mo_wkend_half_sem_2017-01-18,f_blue_number_unique_devices_mo_wkend_half_sem_2017-03-01,f_blue_number_unique_devices_of_others_mo_wkend_half_sem_2017-01-18,f_blue_number_unique_devices_of_others_mo_wkend_half_sem_2017-03-01,f_blue_number_unique_devices_of_self_mo_wkend_half_sem_2017-01-18,f_blue_number_unique_devices_of_self_mo_wkend_half_sem_2017-03-01,f_blue_std_num_scans_of_all_devices_of_others_mo_wkend_half_sem_2017-01-18,f_blue_std_num_scans_of_all_devices_of_others_mo_wkend_half_sem_2017-03-01,f_blue_std_num_scans_of_all_devices_of_self_mo_wkend_half_sem_2017-01-18,f_blue_std_num_scans_of_all_devices_of_self_mo_wkend_half_sem_2017-03-01,f_blue_sum_num_scans_of_all_devices_of_others_mo_wkend_half_sem_2017-01-18,f_blue_sum_num_scans_of_all_devices_of_others_mo_wkend_half_sem_2017-03-01,f_blue_sum_num_scans_of_all_devices_of_self_mo_wkend_half_sem_2017-01-18,f_blue_sum_num_scans_of_all_devices_of_self_mo_wkend_half_sem_2017-03-01
0d25f3b7-d43e-4ccf-a8ed-e1feb0aa40aa,2.3125,1.80952,0.0,45.0,1.0,1.0,1.0,1.0,0.0,45.0,12.0,45.0,12.0,6.0,0.0,45.0,37.0,83.0,16.0,22.0,16.0,21.0,0.0,1.0,2.75,1.6619,0.0,,37.0,38.0,0.0,45.0
0d8b3688-0cba-4323-85fe-00f15785de38,2.93023,2.6036,27.0,21.0,1.0,1.0,1.0,1.0,27.0,21.0,27.0,35.0,26.0,35.0,27.0,21.0,405.0,310.0,130.0,112.0,129.0,111.0,1.0,1.0,3.35686,4.03458,,,378.0,289.0,27.0,21.0
1391f4f7-4e70-4d67-92f1-db819e07c0c9,1.1,,1.0,,1.0,,1.0,,1.0,,2.0,,2.0,,1.0,,13.0,,12.0,,10.0,,2.0,,0.316228,,0.0,,11.0,,2.0,
15d016f2-a52e-4f2d-85ac-f32c2c4526db,1.76923,1.41667,2.33333,5.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,8.0,6.0,2.0,3.0,8.0,30.0,49.0,16.0,27.0,13.0,24.0,3.0,3.0,1.69085,0.50361,1.1547,3.0,23.0,34.0,7.0,15.0
165de20b-6080-4f1d-9354-ec66de50263c,2.0,1.94286,17.0,43.5,1.0,1.0,1.0,1.0,9.0,15.0,25.0,72.0,5.0,15.0,25.0,72.0,44.0,223.0,7.0,72.0,5.0,70.0,2.0,2.0,1.73205,2.19278,11.3137,40.3051,10.0,136.0,34.0,87.0
174bcad9-6cf8-4f97-bcc5-38a6f4c42c1d,2.22222,1.93182,5.42857,7.5,1.0,1.0,1.0,1.0,1.0,1.0,13.0,14.0,9.0,12.0,13.0,14.0,118.0,100.0,43.0,46.0,36.0,44.0,7.0,2.0,2.07173,2.12841,4.82553,9.19239,80.0,85.0,38.0,15.0
17c8318d-0d75-41a8-bfef-eb8c043db1fb,1.77778,2.8,3.875,10.5,1.0,1.0,1.0,1.0,1.0,8.0,11.0,14.0,5.0,7.0,11.0,14.0,63.0,98.0,26.0,24.0,18.0,20.0,8.0,4.0,1.30859,2.14231,3.18198,2.64575,32.0,56.0,31.0,42.0
182bbb8f-cd30-4958-9342-ce0c91659810,2.29555,,15.3,,1.0,,1.0,,1.0,,59.0,,24.0,,59.0,,720.0,,257.0,,247.0,,10.0,,2.73893,,19.9669,,567.0,,153.0,
1973b69d-5fe7-4ff7-94bb-17d5d875499f,3.25,10.4,0.0,50.0,1.0,1.0,1.0,1.0,0.0,50.0,14.0,50.0,14.0,32.0,0.0,50.0,91.0,102.0,28.0,6.0,28.0,5.0,0.0,1.0,3.92169,12.818,0.0,,91.0,52.0,0.0,50.0
1a4011ac-0990-4560-8e1a-f9f07b54b7ec,1.25,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,5.0,6.0,4.0,6.0,4.0,6.0,0.0,0.0,0.5,0.0,0.0,0.0,5.0,6.0,0.0,0.0
