device_id,f_call_duration_incoming_calls_seconds_ev_sem_2017-01-18,f_call_duration_outgoing_calls_seconds_ev_sem_2017-01-18,f_call_most_frequent_correspondent_phone_ev_sem_2017-01-18,f_call_number_incoming_calls_ev_sem_2017-01-18,f_call_number_missed_calls_ev_sem_2017-01-18,f_call_number_of_correspondents_phone_ev_sem_2017-01-18,f_call_number_outgoing_calls_ev_sem_2017-01-18,f_call_number_rows_calls_ev_sem_2017-01-18,f_call_number_incoming_calls_family_ev_sem_2017-01-18,f_call_number_outgoing_calls_family_ev_sem_2017-01-18,f_call_number_missed_calls_family_ev_sem_2017-01-18,f_call_duration_incoming_calls_seconds_family_ev_sem_2017-01-18,f_call_duration_outgoing_calls_seconds_family_ev_sem_2017-01-18,f_call_most_frequent_correspondent_phone_family_ev_sem_2017-01-18,f_call_number_of_correspondents_phone_family_ev_sem_2017-01-18,f_call_number_incoming_calls_friends_on_campus_ev_sem_2017-01-18,f_call_number_outgoing_calls_friends_on_campus_ev_sem_2017-01-18,f_call_number_missed_calls_friends_on_campus_ev_sem_2017-01-18,f_call_duration_incoming_calls_seconds_friends_on_campus_ev_sem_2017-01-18,f_call_duration_outgoing_calls_seconds_friends_on_campus_ev_sem_2017-01-18,f_call_most_frequent_correspondent_phone_friends_on_campus_ev_sem_2017-01-18,f_call_number_of_correspondents_phone_friends_on_campus_ev_sem_2017-01-18,f_call_number_incoming_calls_friends_outside_of_campus_ev_sem_2017-01-18,f_call_number_outgoing_calls_friends_outside_of_campus_ev_sem_2017-01-18,f_call_number_missed_calls_friends_outside_of_campus_ev_sem_2017-01-18,f_call_duration_incoming_calls_seconds_friends_outside_of_campus_ev_sem_2017-01-18,f_call_duration_outgoing_calls_seconds_friends_outside_of_campus_ev_sem_2017-01-18,f_call_most_frequent_correspondent_phone_friends_outside_of_campus_ev_sem_2017-01-18,f_call_number_of_correspondents_phone_friends_outside_of_campus_ev_sem_2017-01-18
0d25f3b7-d43e-4ccf-a8ed-e1feb0aa40aa,0,484,022E83DC-F7D4-4418-A3D4-CCB739360EF7,16,29,46,38,118,,,,,,,,,,,,,,,,,,,,,
0d8b3688-0cba-4323-85fe-00f15785de38,0,406,0D3FFD1C-4F9D-4D20-B362-2EF9136F2BCA,32,23,56,42,132,,,,,,,,,,,,,,,,,,,,,
1391f4f7-4e70-4d67-92f1-db819e07c0c9,0,258,4f48bf928ecc70d8dbd04d30ba6e999b91189e0a,0,1,4,3,4,,,,,,,,,,,,,,,,,,,,,
15d016f2-a52e-4f2d-85ac-f32c2c4526db,0,54,0BF197C2-CFB9-4B01-8D84-0216953EBAED,3,12,15,9,35,,,,,,,,,,,,,,,,,,,,,
165de20b-6080-4f1d-9354-ec66de50263c,0,247,02D6313B-38EA-46B5-9208-0723899D0CE7,12,17,30,18,70,,,,,,,,,,,,,,,,,,,,,
174bcad9-6cf8-4f97-bcc5-38a6f4c42c1d,0,1122,070A71F7-4CE5-462D-86E7-789E9E8A22E6,107,85,192,110,467,,,,,,,,,,,,,,,,,,,,,
17c8318d-0d75-41a8-bfef-eb8c043db1fb,0,1499,0599491C-2652-4A65-9527-8C2F9D177761,54,95,149,114,388,,,,,,,,,,,,,,,,,,,,,
182bbb8f-cd30-4958-9342-ce0c91659810,2076,19803,61d1c3b52410d4e25be7b98753e1d1482eac6b2d,8,7,10,22,37,,,,,,,,,,,,,,,,,,,,,
1973b69d-5fe7-4ff7-94bb-17d5d875499f,0,210,01F0C09F-A993-41BC-87C9-02A3639BE2D1,44,9,53,38,137,,,,,,,,,,,,,,,,,,,,,
1a4011ac-0990-4560-8e1a-f9f07b54b7ec,0,251,0D1A9A7D-C046-487C-9C43-EAF29DD10EDF,23,14,38,22,91,,,,,,,,,,,,,,,,,,,,,
1be1f081-12eb-4151-bee7-04f39b0ada17,11310,2762,cd9c27889c9e8f43ca7ef28243fdb8849a90b231,38,18,21,46,102,,,,,,,,,,,,,,,,,,,,,
1bf4883c-0056-4d72-bd4a-de1f3aec0387,0,62,27255DE1-6C0C-41A6-AD2E-C77B1984845D,6,4,10,7,27,,,,,,,,,,,,,,,,,,,,,
1c67b4f0-964c-4aef-83a1-89a0248f80b3,0,187,036B8A0E-D041-4582-A7C3-19E3A5E2AC8E,37,20,57,37,148,,,,,,,,,,,,,,,,,,,,,
1e3ed4f9-8c22-4b96-8a5c-c324582b9860,0,784,0634F9CE-7314-460D-BC32-90A6F0310546,19,50,69,60,194,,,,,,,,,,,,,,,,,,,,,
1e6cee1a-1bce-45b5-9cef-eab3084a5187,0,294,088BE842-0385-4D0F-A057-C13572EB73EF,25,29,55,39,144,,,,,,,,,,,,,,,,,,,,,
1e6e0199-be64-4525-9b86-ae0038022368,0,59,1F59EA02-6FD1-4687-AE74-63274D73BCAD,8,2,10,7,25,,,,,,,,,,,,,,,,,,,,,
209854a0-471d-42fa-856f-54b5d1948481,12875,31279,1f4f69b5e278b20d6d421525cb8dce8f9e646f00,26,10,22,86,122,,,,,,,,,,,,,,,,,,,,,
24f7d497-1c92-4372-976d-81dd15d7b1fb,0,593,000C3B08-8979-4889-AF3D-7F9E97590B5D,41,43,84,65,225,,,,,,,,,,,,,,,,,,,,,
2cafda94-dca2-4401-ae3c-aa1bdf3ce6ca,0,0,3164e84ee697a1ad333d74ceb6981d4f09279512,1,0,1,1,2,,,,,,,,,,,,,,,,,,,,,
