device_id,f_call_duration_incoming_calls_seconds_ev_wkdy_half_sem_2017-01-18,f_call_duration_incoming_calls_seconds_ev_wkdy_half_sem_2017-03-01,f_call_duration_incoming_calls_seconds_family_ev_wkdy_half_sem_2017-01-18,f_call_duration_incoming_calls_seconds_family_ev_wkdy_half_sem_2017-03-01,f_call_duration_incoming_calls_seconds_friends_on_campus_ev_wkdy_half_sem_2017-01-18,f_call_duration_incoming_calls_seconds_friends_on_campus_ev_wkdy_half_sem_2017-03-01,f_call_duration_incoming_calls_seconds_friends_outside_of_campus_ev_wkdy_half_sem_2017-01-18,f_call_duration_incoming_calls_seconds_friends_outside_of_campus_ev_wkdy_half_sem_2017-03-01,f_call_duration_outgoing_calls_seconds_ev_wkdy_half_sem_2017-01-18,f_call_duration_outgoing_calls_seconds_ev_wkdy_half_sem_2017-03-01,f_call_duration_outgoing_calls_seconds_family_ev_wkdy_half_sem_2017-01-18,f_call_duration_outgoing_calls_seconds_family_ev_wkdy_half_sem_2017-03-01,f_call_duration_outgoing_calls_seconds_friends_on_campus_ev_wkdy_half_sem_2017-01-18,f_call_duration_outgoing_calls_seconds_friends_on_campus_ev_wkdy_half_sem_2017-03-01,f_call_duration_outgoing_calls_seconds_friends_outside_of_campus_ev_wkdy_half_sem_2017-01-18,f_call_duration_outgoing_calls_seconds_friends_outside_of_campus_ev_wkdy_half_sem_2017-03-01,f_call_most_frequent_correspondent_phone_ev_wkdy_half_sem_2017-01-18,f_call_most_frequent_correspondent_phone_ev_wkdy_half_sem_2017-03-01,f_call_most_frequent_correspondent_phone_family_ev_wkdy_half_sem_2017-01-18,f_call_most_frequent_correspondent_phone_family_ev_wkdy_half_sem_2017-03-01,f_call_most_frequent_correspondent_phone_friends_on_campus_ev_wkdy_half_sem_2017-01-18,f_call_most_frequent_correspondent_phone_friends_on_campus_ev_wkdy_half_sem_2017-03-01,f_call_most_frequent_correspondent_phone_friends_outside_of_campus_ev_wkdy_half_sem_2017-01-18,f_call_most_frequent_correspondent_phone_friends_outside_of_campus_ev_wkdy_half_sem_2017-03-01,f_call_number_incoming_calls_ev_wkdy_half_sem_2017-01-18,f_call_number_incoming_calls_ev_wkdy_half_sem_2017-03-01,f_call_number_incoming_calls_family_ev_wkdy_half_sem_2017-01-18,f_call_number_incoming_calls_family_ev_wkdy_half_sem_2017-03-01,f_call_number_incoming_calls_friends_on_campus_ev_wkdy_half_sem_2017-01-18,f_call_number_incoming_calls_friends_on_campus_ev_wkdy_half_sem_2017-03-01,f_call_number_incoming_calls_friends_outside_of_campus_ev_wkdy_half_sem_2017-01-18,f_call_number_incoming_calls_friends_outside_of_campus_ev_wkdy_half_sem_2017-03-01,f_call_number_missed_calls_ev_wkdy_half_sem_2017-01-18,f_call_number_missed_calls_ev_wkdy_half_sem_2017-03-01,f_call_number_missed_calls_family_ev_wkdy_half_sem_2017-01-18,f_call_number_missed_calls_family_ev_wkdy_half_sem_2017-03-01,f_call_number_missed_calls_friends_on_campus_ev_wkdy_half_sem_2017-01-18,f_call_number_missed_calls_friends_on_campus_ev_wkdy_half_sem_2017-03-01,f_call_number_missed_calls_friends_outside_of_campus_ev_wkdy_half_sem_2017-01-18,f_call_number_missed_calls_friends_outside_of_campus_ev_wkdy_half_sem_2017-03-01,f_call_number_of_correspondents_phone_ev_wkdy_half_sem_2017-01-18,f_call_number_of_correspondents_phone_ev_wkdy_half_sem_2017-03-01,f_call_number_of_correspondents_phone_family_ev_wkdy_half_sem_2017-01-18,f_call_number_of_correspondents_phone_family_ev_wkdy_half_sem_2017-03-01,f_call_number_of_correspondents_phone_friends_on_campus_ev_wkdy_half_sem_2017-01-18,f_call_number_of_correspondents_phone_friends_on_campus_ev_wkdy_half_sem_2017-03-01,f_call_number_of_correspondents_phone_friends_outside_of_campus_ev_wkdy_half_sem_2017-01-18,f_call_number_of_correspondents_phone_friends_outside_of_campus_ev_wkdy_half_sem_2017-03-01,f_call_number_outgoing_calls_ev_wkdy_half_sem_2017-01-18,f_call_number_outgoing_calls_ev_wkdy_half_sem_2017-03-01,f_call_number_outgoing_calls_family_ev_wkdy_half_sem_2017-01-18,f_call_number_outgoing_calls_family_ev_wkdy_half_sem_2017-03-01,f_call_number_outgoing_calls_friends_on_campus_ev_wkdy_half_sem_2017-01-18,f_call_number_outgoing_calls_friends_on_campus_ev_wkdy_half_sem_2017-03-01,f_call_number_outgoing_calls_friends_outside_of_campus_ev_wkdy_half_sem_2017-01-18,f_call_number_outgoing_calls_friends_outside_of_campus_ev_wkdy_half_sem_2017-03-01,f_call_number_rows_calls_ev_wkdy_half_sem_2017-01-18,f_call_number_rows_calls_ev_wkdy_half_sem_2017-03-01
0d25f3b7-d43e-4ccf-a8ed-e1feb0aa40aa,0.0,0.0,,,,,,,205.0,252.0,,,,,,,022E83DC-F7D4-4418-A3D4-CCB739360EF7,1FB2B4F4-224B-48C6-8444-8914AD4862B7,,,,,,,5.0,7.0,,,,,,,16.0,12.0,,,,,,,21.0,19.0,,,,,,,18.0,16.0,,,,,,,55.0,50.0
0d8b3688-0cba-4323-85fe-00f15785de38,0.0,0.0,,,,,,,110.0,187.0,,,,,,,1D83E221-E034-4190-968B-4B04FEA35291,0D3FFD1C-4F9D-4D20-B362-2EF9136F2BCA,,,,,,,8.0,15.0,,,,,,,8.0,12.0,,,,,,,16.0,27.0,,,,,,,15.0,16.0,,,,,,,39.0,63.0
1391f4f7-4e70-4d67-92f1-db819e07c0c9,,0.0,,,,,,,,258.0,,,,,,,,4f48bf928ecc70d8dbd04d30ba6e999b91189e0a,,,,,,,,0.0,,,,,,,,1.0,,,,,,,,4.0,,,,,,,,3.0,,,,,,,,4.0
15d016f2-a52e-4f2d-85ac-f32c2c4526db,0.0,0.0,,,,,,,20.0,23.0,,,,,,,3A1A2982-3B86-4FB7-8D6C-4D6BD1749885,7B7E8641-954E-4170-ABC1-024C33F68556,,,,,,,1.0,2.0,,,,,,,3.0,6.0,,,,,,,4.0,8.0,,,,,,,4.0,4.0,,,,,,,10.0,18.0
165de20b-6080-4f1d-9354-ec66de50263c,0.0,0.0,,,,,,,49.0,166.0,,,,,,,2984D585-0C4E-425C-98F6-2E0519B89E97,02D6313B-38EA-46B5-9208-0723899D0CE7,,,,,,,3.0,5.0,,,,,,,4.0,13.0,,,,,,,8.0,18.0,,,,,,,3.0,12.0,,,,,,,17.0,43.0
174bcad9-6cf8-4f97-bcc5-38a6f4c42c1d,0.0,0.0,,,,,,,296.0,493.0,,,,,,,0BFBFA6B-DE4F-483A-9793-7226FA3B34B9,070A71F7-4CE5-462D-86E7-789E9E8A22E6,,,,,,,30.0,51.0,,,,,,,24.0,36.0,,,,,,,54.0,87.0,,,,,,,28.0,49.0,,,,,,,127.0,214.0
17c8318d-0d75-41a8-bfef-eb8c043db1fb,0.0,0.0,,,,,,,278.0,903.0,,,,,,,0599491C-2652-4A65-9527-8C2F9D177761,0672F676-12EA-49BE-9F0A-65CAB629223F,,,,,,,11.0,34.0,,,,,,,15.0,60.0,,,,,,,26.0,94.0,,,,,,,15.0,74.0,,,,,,,65.0,245.0
182bbb8f-cd30-4958-9342-ce0c91659810,83.0,1993.0,,,,,,,0.0,7427.0,,,,,,,315aa11a4bf5dcf01f9d75b90f4a2d15d59f7115,61d1c3b52410d4e25be7b98753e1d1482eac6b2d,,,,,,,1.0,7.0,,,,,,,0.0,1.0,,,,,,,1.0,9.0,,,,,,,0.0,17.0,,,,,,,1.0,25.0
1973b69d-5fe7-4ff7-94bb-17d5d875499f,0.0,0.0,,,,,,,27.0,102.0,,,,,,,42C7CE45-2FA8-4520-932B-7571E3376278,0F158E20-3CEB-4F0E-9CA6-5D879B117123,,,,,,,6.0,15.0,,,,,,,1.0,8.0,,,,,,,7.0,23.0,,,,,,,6.0,17.0,,,,,,,18.0,59.0
1a4011ac-0990-4560-8e1a-f9f07b54b7ec,0.0,0.0,,,,,,,41.0,142.0,,,,,,,39715FE1-F829-4BF4-ADD9-9005E8DAF04A,0D1A9A7D-C046-487C-9C43-EAF29DD10EDF,,,,,,,7.0,7.0,,,,,,,1.0,9.0,,,,,,,8.0,17.0,,,,,,,3.0,11.0,,,,,,,17.0,43.0
1be1f081-12eb-4151-bee7-04f39b0ada17,5636.0,4638.0,,,,,,,499.0,2110.0,,,,,,,1b7051ea02bed425e782ff5e597b1e900a35449e,bba38ff138aac8ab30421e26c87d3bbc52dac882,,,,,,,11.0,18.0,,,,,,,4.0,6.0,,,,,,,9.0,12.0,,,,,,,13.0,26.0,,,,,,,28.0,50.0
1bf4883c-0056-4d72-bd4a-de1f3aec0387,0.0,0.0,,,,,,,19.0,11.0,,,,,,,6670317C-B69B-4726-A8D9-04B993D4D093,69DDD933-6B18-4BD3-8D2F-CFD81D01D6EF,,,,,,,4.0,1.0,,,,,,,2.0,1.0,,,,,,,6.0,2.0,,,,,,,3.0,2.0,,,,,,,15.0,6.0
1c67b4f0-964c-4aef-83a1-89a0248f80b3,0.0,0.0,,,,,,,54.0,100.0,,,,,,,036B8A0E-D041-4582-A7C3-19E3A5E2AC8E,054936EE-AC27-4EC6-8FFC-89647E3080A5,,,,,,,16.0,15.0,,,,,,,4.0,12.0,,,,,,,20.0,27.0,,,,,,,11.0,18.0,,,,,,,51.0,70.0
