device_id,f_slp_avg_length_bout_asleep_ev_wkend_half_sem_2017-01-18,f_slp_avg_length_bout_asleep_ev_wkend_half_sem_2017-03-01,f_slp_avg_length_bout_awake_ev_wkend_half_sem_2017-01-18,f_slp_avg_length_bout_awake_ev_wkend_half_sem_2017-03-01,f_slp_avg_length_bout_restless_ev_wkend_half_sem_2017-01-18,f_slp_avg_length_bout_restless_ev_wkend_half_sem_2017-03-01,f_slp_avg_length_bout_totalsleep_ev_wkend_half_sem_2017-01-18,f_slp_avg_length_bout_totalsleep_ev_wkend_half_sem_2017-03-01,f_slp_end_time_max_bout_asleep_ev_wkend_half_sem_2017-01-18,f_slp_end_time_max_bout_asleep_ev_wkend_half_sem_2017-03-01,f_slp_end_time_max_bout_awake_ev_wkend_half_sem_2017-01-18,f_slp_end_time_max_bout_awake_ev_wkend_half_sem_2017-03-01,f_slp_end_time_max_bout_restless_ev_wkend_half_sem_2017-01-18,f_slp_end_time_max_bout_restless_ev_wkend_half_sem_2017-03-01,f_slp_end_time_max_bout_totalsleep_ev_wkend_half_sem_2017-01-18,f_slp_end_time_max_bout_totalsleep_ev_wkend_half_sem_2017-03-01,f_slp_end_time_min_bout_asleep_ev_wkend_half_sem_2017-01-18,f_slp_end_time_min_bout_asleep_ev_wkend_half_sem_2017-03-01,f_slp_end_time_min_bout_awake_ev_wkend_half_sem_2017-01-18,f_slp_end_time_min_bout_awake_ev_wkend_half_sem_2017-03-01,f_slp_end_time_min_bout_restless_ev_wkend_half_sem_2017-01-18,f_slp_end_time_min_bout_restless_ev_wkend_half_sem_2017-03-01,f_slp_end_time_min_bout_totalsleep_ev_wkend_half_sem_2017-01-18,f_slp_end_time_min_bout_totalsleep_ev_wkend_half_sem_2017-03-01,f_slp_max_length_bout_asleep_ev_wkend_half_sem_2017-01-18,f_slp_max_length_bout_asleep_ev_wkend_half_sem_2017-03-01,f_slp_max_length_bout_awake_ev_wkend_half_sem_2017-01-18,f_slp_max_length_bout_awake_ev_wkend_half_sem_2017-03-01,f_slp_max_length_bout_restless_ev_wkend_half_sem_2017-01-18,f_slp_max_length_bout_restless_ev_wkend_half_sem_2017-03-01,f_slp_max_length_bout_totalsleep_ev_wkend_half_sem_2017-01-18,f_slp_max_length_bout_totalsleep_ev_wkend_half_sem_2017-03-01,f_slp_min_length_bout_asleep_ev_wkend_half_sem_2017-01-18,f_slp_min_length_bout_asleep_ev_wkend_half_sem_2017-03-01,f_slp_min_length_bout_awake_ev_wkend_half_sem_2017-01-18,f_slp_min_length_bout_awake_ev_wkend_half_sem_2017-03-01,f_slp_min_length_bout_restless_ev_wkend_half_sem_2017-01-18,f_slp_min_length_bout_restless_ev_wkend_half_sem_2017-03-01,f_slp_min_length_bout_totalsleep_ev_wkend_half_sem_2017-01-18,f_slp_min_length_bout_totalsleep_ev_wkend_half_sem_2017-03-01,f_slp_num_0_ev_wkend_half_sem_2017-01-18,f_slp_num_0_ev_wkend_half_sem_2017-03-01,f_slp_num_asleep_bouts_ev_wkend_half_sem_2017-01-18,f_slp_num_asleep_bouts_ev_wkend_half_sem_2017-03-01,f_slp_num_asleep_ev_wkend_half_sem_2017-01-18,f_slp_num_asleep_ev_wkend_half_sem_2017-03-01,f_slp_num_awake_bouts_ev_wkend_half_sem_2017-01-18,f_slp_num_awake_bouts_ev_wkend_half_sem_2017-03-01,f_slp_num_awake_ev_wkend_half_sem_2017-01-18,f_slp_num_awake_ev_wkend_half_sem_2017-03-01,f_slp_num_restless_bouts_ev_wkend_half_sem_2017-01-18,f_slp_num_restless_bouts_ev_wkend_half_sem_2017-03-01,f_slp_num_restless_ev_wkend_half_sem_2017-01-18,f_slp_num_restless_ev_wkend_half_sem_2017-03-01,f_slp_num_samples_sleep_ev_wkend_half_sem_2017-01-18,f_slp_num_samples_sleep_ev_wkend_half_sem_2017-03-01,f_slp_num_totalsleep_bouts_ev_wkend_half_sem_2017-01-18,f_slp_num_totalsleep_bouts_ev_wkend_half_sem_2017-03-01,f_slp_sleep_eff_general_strong_ev_wkend_half_sem_2017-01-18,f_slp_sleep_eff_general_strong_ev_wkend_half_sem_2017-03-01,f_slp_sleep_eff_general_weak_ev_wkend_half_sem_2017-01-18,f_slp_sleep_eff_general_weak_ev_wkend_half_sem_2017-03-01,f_slp_sleep_eff_max_bout_strong_ev_wkend_half_sem_2017-01-18,f_slp_sleep_eff_max_bout_strong_ev_wkend_half_sem_2017-03-01,f_slp_sleep_eff_max_bout_weak_ev_wkend_half_sem_2017-01-18,f_slp_sleep_eff_max_bout_weak_ev_wkend_half_sem_2017-03-01,f_slp_start_time_max_bout_asleep_ev_wkend_half_sem_2017-01-18,f_slp_start_time_max_bout_asleep_ev_wkend_half_sem_2017-03-01,f_slp_start_time_max_bout_awake_ev_wkend_half_sem_2017-01-18,f_slp_start_time_max_bout_awake_ev_wkend_half_sem_2017-03-01,f_slp_start_time_max_bout_restless_ev_wkend_half_sem_2017-01-18,f_slp_start_time_max_bout_restless_ev_wkend_half_sem_2017-03-01,f_slp_start_time_max_bout_totalsleep_ev_wkend_half_sem_2017-01-18,f_slp_start_time_max_bout_totalsleep_ev_wkend_half_sem_2017-03-01,f_slp_start_time_min_bout_asleep_ev_wkend_half_sem_2017-01-18,f_slp_start_time_min_bout_asleep_ev_wkend_half_sem_2017-03-01,f_slp_start_time_min_bout_awake_ev_wkend_half_sem_2017-01-18,f_slp_start_time_min_bout_awake_ev_wkend_half_sem_2017-03-01,f_slp_start_time_min_bout_restless_ev_wkend_half_sem_2017-01-18,f_slp_start_time_min_bout_restless_ev_wkend_half_sem_2017-03-01,f_slp_start_time_min_bout_totalsleep_ev_wkend_half_sem_2017-01-18,f_slp_start_time_min_bout_totalsleep_ev_wkend_half_sem_2017-03-01,f_slp_sum_length_bout_asleep_ev_wkend_half_sem_2017-01-18,f_slp_sum_length_bout_asleep_ev_wkend_half_sem_2017-03-01,f_slp_sum_length_bout_awake_ev_wkend_half_sem_2017-01-18,f_slp_sum_length_bout_awake_ev_wkend_half_sem_2017-03-01,f_slp_sum_length_bout_restless_ev_wkend_half_sem_2017-01-18,f_slp_sum_length_bout_restless_ev_wkend_half_sem_2017-03-01,f_slp_sum_length_bout_totalsleep_ev_wkend_half_sem_2017-01-18,f_slp_sum_length_bout_totalsleep_ev_wkend_half_sem_2017-03-01
0d8b3688-0cba-4323-85fe-00f15785de38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,241.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1391f4f7-4e70-4d67-92f1-db819e07c0c9,16.0,1.0,1.0,0.0,1.0,0.0,121.0,1.0,0 days 23:40:00.000000000,0 days 00:00:00.000000000,0 days 22:57:00.000000000,,0 days 23:44:00.000000000,,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 22:55:00.000000000,0 days 00:00:00.000000000,0 days 23:45:00.000000000,,0 days 22:58:00.000000000,,0 days 00:00:00.000000000,0 days 00:00:00.000000000,42.0,1.0,2.0,0.0,3.0,0.0,121.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,121.0,1.0,0.0,61.0,6.0,1.0,100.0,1.0,5.0,0.0,9.0,0.0,8.0,0.0,12.0,0.0,121.0,62.0,1.0,1.0,0.826446,1.0,0.92562,1.0,1.0,1.0,1.0,1.0,0 days 22:58:00.000000000,0 days 00:00:00.000000000,0 days 22:55:00.000000000,,0 days 23:41:00.000000000,,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 23:44:00.000000000,,0 days 22:57:00.000000000,,0 days 00:00:00.000000000,0 days 00:00:00.000000000,100.0,1.0,9.0,0.0,12.0,0.0,121.0,1.0
165de20b-6080-4f1d-9354-ec66de50263c,23.0,77.0,3.0,0.0,1.0,1.0,213.0,236.0,0 days 21:32:00.000000000,0 days 21:55:00.000000000,0 days 23:12:00.000000000,,0 days 23:31:00.000000000,0 days 18:48:00.000000000,0 days 00:00:00.000000000,0 days 23:00:00.000000000,0 days 21:34:00.000000000,0 days 18:51:00.000000000,0 days 18:16:00.000000000,,0 days 18:15:00.000000000,0 days 18:48:00.000000000,0 days 23:00:00.000000000,0 days 23:00:00.000000000,195.0,183.0,6.0,0.0,6.0,1.0,355.0,236.0,1.0,3.0,1.0,0.0,1.0,1.0,58.0,236.0,122.0,243.0,25.0,3.0,575.0,233.0,7.0,0.0,21.0,0.0,28.0,3.0,45.0,3.0,763.0,479.0,3.0,1.0,0.897036,0.987288,0.967239,1.0,1.0,1.0,1.0,1.0,0 days 18:17:00.000000000,0 days 18:52:00.000000000,0 days 23:06:00.000000000,,0 days 23:25:00.000000000,0 days 18:47:00.000000000,0 days 23:51:00.000000000,0 days 18:00:00.000000000,0 days 21:33:00.000000000,0 days 18:48:00.000000000,0 days 18:15:00.000000000,,0 days 00:00:00.000000000,0 days 18:47:00.000000000,0 days 23:03:00.000000000,0 days 18:00:00.000000000,575.0,233.0,21.0,0.0,45.0,3.0,641.0,236.0
174bcad9-6cf8-4f97-bcc5-38a6f4c42c1d,49.0,10.0,1.0,0.0,1.0,2.0,227.0,36.0,0 days 18:48:00.000000000,0 days 18:25:00.000000000,0 days 20:20:00.000000000,,0 days 20:19:00.000000000,0 days 18:31:00.000000000,0 days 23:00:00.000000000,0 days 23:00:00.000000000,0 days 23:00:00.000000000,0 days 00:00:00.000000000,0 days 20:20:00.000000000,,0 days 18:49:00.000000000,0 days 18:26:00.000000000,0 days 23:00:00.000000000,0 days 00:00:00.000000000,215.0,25.0,1.0,0.0,3.0,4.0,454.0,71.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,180.0,366.0,9.0,6.0,442.0,62.0,1.0,0.0,1.0,0.0,8.0,4.0,12.0,10.0,635.0,438.0,2.0,2.0,0.971429,0.861111,0.997802,1.0,1.0,1.0,1.0,1.0,0 days 18:00:00.000000000,0 days 18:00:00.000000000,0 days 20:19:00.000000000,,0 days 20:16:00.000000000,0 days 18:27:00.000000000,0 days 18:00:00.000000000,0 days 18:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 20:19:00.000000000,,0 days 18:48:00.000000000,0 days 18:25:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,442.0,62.0,1.0,0.0,12.0,10.0,455.0,72.0
17c8318d-0d75-41a8-bfef-eb8c043db1fb,0.0,12.0,0.0,1.0,0.0,1.0,0.0,48.0,,0 days 23:00:00.000000000,,0 days 23:43:00.000000000,,0 days 23:46:00.000000000,,0 days 23:00:00.000000000,,0 days 23:47:00.000000000,,0 days 23:43:00.000000000,,0 days 23:49:00.000000000,,0 days 23:00:00.000000000,0.0,49.0,0.0,1.0,0.0,3.0,0.0,58.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,39.0,60.0,121.0,0.0,7.0,0.0,85.0,0.0,2.0,0.0,2.0,0.0,6.0,0.0,10.0,60.0,218.0,0.0,2.0,,0.876289,,0.979381,,1.0,,1.0,,0 days 23:12:00.000000000,,0 days 23:42:00.000000000,,0 days 23:43:00.000000000,,0 days 23:03:00.000000000,,0 days 23:46:00.000000000,,0 days 23:42:00.000000000,,0 days 23:48:00.000000000,,0 days 23:40:00.000000000,0.0,85.0,0.0,2.0,0.0,10.0,0.0,97.0
182bbb8f-cd30-4958-9342-ce0c91659810,8.0,15.0,6.0,3.0,1.0,1.0,35.0,266.0,0 days 00:00:00.000000000,0 days 23:53:00.000000000,0 days 23:28:00.000000000,0 days 22:53:00.000000000,0 days 23:14:00.000000000,0 days 23:24:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 23:18:00.000000000,0 days 23:25:00.000000000,0 days 23:55:00.000000000,0 days 22:28:00.000000000,0 days 23:29:00.000000000,0 days 22:29:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,17.0,59.0,8.0,6.0,2.0,4.0,49.0,266.0,4.0,1.0,6.0,1.0,1.0,1.0,22.0,266.0,1.0,0.0,5.0,15.0,43.0,226.0,3.0,6.0,20.0,18.0,6.0,14.0,8.0,22.0,72.0,266.0,2.0,1.0,0.605634,0.849624,0.71831,0.932331,1.0,1.0,1.0,1.0,0 days 23:44:00.000000000,0 days 22:54:00.000000000,0 days 23:20:00.000000000,0 days 22:47:00.000000000,0 days 23:12:00.000000000,0 days 23:20:00.000000000,0 days 23:12:00.000000000,0 days 22:27:00.000000000,0 days 23:14:00.000000000,0 days 23:24:00.000000000,0 days 23:49:00.000000000,0 days 22:27:00.000000000,0 days 23:28:00.000000000,0 days 22:28:00.000000000,0 days 23:49:00.000000000,0 days 22:27:00.000000000,43.0,226.0,20.0,18.0,8.0,22.0,71.0,266.0
1973b69d-5fe7-4ff7-94bb-17d5d875499f,0.0,52.0,0.0,0.0,0.0,1.0,0.0,160.0,,0 days 21:35:00.000000000,,,,0 days 18:59:00.000000000,,0 days 21:35:00.000000000,,0 days 18:58:00.000000000,,,,0 days 18:59:00.000000000,,0 days 21:35:00.000000000,0.0,154.0,0.0,0.0,0.0,1.0,0.0,160.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,160.0,2.0,0.0,0.0,3.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,160.0,0.0,1.0,,0.9875,,1.0,,1.0,,1.0,,0 days 19:02:00.000000000,,,,0 days 18:58:00.000000000,,0 days 00:00:00.000000000,,0 days 00:00:00.000000000,,,,0 days 18:58:00.000000000,,0 days 00:00:00.000000000,0.0,158.0,0.0,0.0,0.0,2.0,0.0,160.0
1a4011ac-0990-4560-8e1a-f9f07b54b7ec,54.0,,0.0,,1.0,,515.0,,0 days 23:22:00.000000000,,,,0 days 20:11:00.000000000,,0 days 00:00:00.000000000,,0 days 18:40:00.000000000,,,,0 days 18:44:00.000000000,,0 days 23:00:00.000000000,,322.0,,0.0,,3.0,,721.0,,1.0,,0.0,,1.0,,169.0,,305.0,,28.0,,1512.0,,0.0,,0.0,,26.0,,35.0,,1852.0,,3.0,,0.977376,,1.0,,1.0,,1.0,,0 days 18:00:00.000000000,,,,0 days 20:08:00.000000000,,0 days 18:00:00.000000000,,0 days 18:39:00.000000000,,,,0 days 18:43:00.000000000,,0 days 18:00:00.000000000,,1512.0,,0.0,,35.0,,1547.0,
1be1f081-12eb-4151-bee7-04f39b0ada17,45.0,1.0,0.0,0.0,1.0,0.0,91.0,1.0,0 days 19:25:00.000000000,0 days 00:00:00.000000000,,,0 days 23:58:00.000000000,,0 days 19:25:00.000000000,0 days 00:00:00.000000000,0 days 23:57:00.000000000,0 days 00:00:00.000000000,,,0 days 23:58:00.000000000,,0 days 19:25:00.000000000,0 days 00:00:00.000000000,88.0,1.0,0.0,0.0,1.0,0.0,91.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,91.0,1.0,0.0,123.0,2.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,91.0,124.0,1.0,1.0,0.989011,1.0,1.0,1.0,1.0,,1.0,,0 days 23:58:00.000000000,0 days 00:00:00.000000000,,,0 days 23:57:00.000000000,,0 days 23:55:00.000000000,0 days 00:00:00.000000000,0 days 23:55:00.000000000,0 days 00:00:00.000000000,,,0 days 23:57:00.000000000,,0 days 23:55:00.000000000,0 days 00:00:00.000000000,90.0,1.0,0.0,0.0,1.0,0.0,91.0,1.0
1c67b4f0-964c-4aef-83a1-89a0248f80b3,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,60.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,60.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0
