device_id,f_steps_avg_length_active_bout_minutes_af_wkend_half_sem_2017-01-18,f_steps_avg_length_active_bout_minutes_af_wkend_half_sem_2017-03-01,f_steps_avg_length_sedentary_bout_minutes_af_wkend_half_sem_2017-01-18,f_steps_avg_length_sedentary_bout_minutes_af_wkend_half_sem_2017-03-01,f_steps_avg_step_active_bout_af_wkend_half_sem_2017-01-18,f_steps_avg_step_active_bout_af_wkend_half_sem_2017-03-01,f_steps_max_length_active_bout_minutes_af_wkend_half_sem_2017-01-18,f_steps_max_length_active_bout_minutes_af_wkend_half_sem_2017-03-01,f_steps_max_length_sedentary_bout_minutes_af_wkend_half_sem_2017-01-18,f_steps_max_length_sedentary_bout_minutes_af_wkend_half_sem_2017-03-01,f_steps_max_step_active_bout_af_wkend_half_sem_2017-01-18,f_steps_max_step_active_bout_af_wkend_half_sem_2017-03-01,f_steps_max_steps_af_wkend_half_sem_2017-01-18,f_steps_max_steps_af_wkend_half_sem_2017-03-01,f_steps_min_length_active_bout_minutes_af_wkend_half_sem_2017-01-18,f_steps_min_length_active_bout_minutes_af_wkend_half_sem_2017-03-01,f_steps_min_length_sedentary_bout_minutes_af_wkend_half_sem_2017-01-18,f_steps_min_length_sedentary_bout_minutes_af_wkend_half_sem_2017-03-01,f_steps_min_step_active_bout_af_wkend_half_sem_2017-01-18,f_steps_min_step_active_bout_af_wkend_half_sem_2017-03-01,f_steps_num_active_bout_af_wkend_half_sem_2017-01-18,f_steps_num_active_bout_af_wkend_half_sem_2017-03-01,f_steps_num_samples_steps_af_wkend_half_sem_2017-01-18,f_steps_num_samples_steps_af_wkend_half_sem_2017-03-01,f_steps_num_sedentary_bout_af_wkend_half_sem_2017-01-18,f_steps_num_sedentary_bout_af_wkend_half_sem_2017-03-01,f_steps_sum_steps_af_wkend_half_sem_2017-01-18,f_steps_sum_steps_af_wkend_half_sem_2017-03-01
0d8b3688-0cba-4323-85fe-00f15785de38,19.0,22.0,30.0,65.0,556.0,1041.0,155.0,70.0,265.0,705.0,6285.0,7869.0,553.0,785.0,5.0,5.0,5.0,5.0,10.0,16.0,88.0,20.0,876.0,365.0,87.0,21.0,49273.0,20895.0
1391f4f7-4e70-4d67-92f1-db819e07c0c9,15.0,14.0,18.0,31.0,345.0,335.0,80.0,50.0,375.0,145.0,3241.0,2086.0,601.0,536.0,5.0,5.0,5.0,5.0,10.0,10.0,128.0,24.0,876.0,219.0,129.0,24.0,44757.0,8175.0
165de20b-6080-4f1d-9354-ec66de50263c,10.0,10.0,129.0,158.0,344.0,437.0,25.0,25.0,1835.0,1290.0,1042.0,1273.0,530.0,579.0,5.0,5.0,5.0,5.0,10.0,36.0,20.0,12.0,584.0,438.0,21.0,13.0,7004.0,5260.0
174bcad9-6cf8-4f97-bcc5-38a6f4c42c1d,24.0,18.0,39.0,44.0,885.0,469.0,160.0,100.0,395.0,700.0,8527.0,6075.0,541.0,595.0,5.0,5.0,5.0,5.0,10.0,10.0,62.0,82.0,803.0,1022.0,63.0,82.0,55176.0,38962.0
17c8318d-0d75-41a8-bfef-eb8c043db1fb,18.0,18.0,16.0,21.0,661.0,543.0,155.0,170.0,160.0,365.0,9205.0,10551.0,609.0,624.0,5.0,5.0,5.0,5.0,10.0,10.0,126.0,163.0,876.0,1314.0,126.0,163.0,83962.0,89271.0
182bbb8f-cd30-4958-9342-ce0c91659810,21.0,18.0,22.0,19.0,638.0,492.0,215.0,210.0,235.0,135.0,10701.0,5138.0,566.0,578.0,5.0,5.0,5.0,5.0,10.0,10.0,100.0,173.0,876.0,1314.0,100.0,173.0,64397.0,86289.0
1973b69d-5fe7-4ff7-94bb-17d5d875499f,14.0,15.0,52.0,49.0,502.0,574.0,85.0,90.0,415.0,500.0,8089.0,5193.0,763.0,739.0,5.0,5.0,5.0,5.0,10.0,10.0,65.0,101.0,876.0,1314.0,66.0,101.0,32866.0,58368.0
1a4011ac-0990-4560-8e1a-f9f07b54b7ec,12.0,,43.0,,293.0,,75.0,,570.0,,2045.0,,567.0,,5.0,,5.0,,10.0,,77.0,,876.0,,77.0,,22813.0,
1be1f081-12eb-4151-bee7-04f39b0ada17,17.0,16.0,24.0,25.0,557.0,452.0,90.0,125.0,140.0,295.0,2645.0,3748.0,793.0,631.0,5.0,5.0,5.0,5.0,10.0,10.0,104.0,157.0,876.0,1314.0,105.0,158.0,58399.0,71618.0
1c67b4f0-964c-4aef-83a1-89a0248f80b3,17.0,14.0,30.0,45.0,426.0,251.0,105.0,55.0,365.0,585.0,4154.0,2078.0,624.0,562.0,5.0,5.0,5.0,5.0,10.0,10.0,91.0,97.0,876.0,1168.0,92.0,97.0,39375.0,25002.0
1e3ed4f9-8c22-4b96-8a5c-c324582b9860,17.0,21.0,25.0,28.0,399.0,619.0,150.0,125.0,120.0,270.0,2819.0,5294.0,584.0,626.0,5.0,5.0,5.0,5.0,10.0,10.0,102.0,110.0,876.0,1095.0,102.0,110.0,41094.0,68539.0
209854a0-471d-42fa-856f-54b5d1948481,30.0,19.0,18.0,36.0,813.0,574.0,250.0,145.0,200.0,660.0,6402.0,5878.0,594.0,560.0,5.0,5.0,5.0,5.0,11.0,10.0,90.0,116.0,876.0,1314.0,90.0,116.0,73461.0,66969.0
24f7d497-1c92-4372-976d-81dd15d7b1fb,17.0,19.0,21.0,29.0,510.0,472.0,80.0,110.0,140.0,745.0,4814.0,2727.0,794.0,543.0,5.0,5.0,5.0,5.0,10.0,10.0,112.0,75.0,876.0,730.0,113.0,74.0,57664.0,35800.0
2cafda94-dca2-4401-ae3c-aa1bdf3ce6ca,15.0,17.0,22.0,23.0,479.0,565.0,75.0,180.0,190.0,190.0,2718.0,4191.0,645.0,637.0,5.0,5.0,5.0,5.0,10.0,10.0,114.0,158.0,876.0,1314.0,115.0,159.0,55046.0,89950.0
2ef2702c-0c30-40d8-91c0-35ad8829465b,18.0,22.0,22.0,25.0,645.0,813.0,110.0,130.0,100.0,150.0,9226.0,10877.0,804.0,807.0,5.0,5.0,5.0,5.0,10.0,10.0,107.0,137.0,876.0,1314.0,108.0,137.0,69516.0,112002.0
2fb7fbc1-068f-4a54-a8ee-a41c99d0f7da,18.0,18.0,25.0,24.0,654.0,578.0,160.0,145.0,100.0,200.0,7349.0,10992.0,852.0,847.0,5.0,5.0,5.0,5.0,10.0,10.0,83.0,118.0,730.0,1022.0,84.0,119.0,54654.0,68808.0
318f91af-9b11-42f5-bdcd-7c9e35761da5,14.0,13.0,34.0,34.0,531.0,400.0,85.0,80.0,205.0,215.0,3493.0,2750.0,650.0,646.0,5.0,5.0,5.0,5.0,10.0,10.0,88.0,135.0,876.0,1314.0,89.0,136.0,47090.0,54491.0
31c395a9-0128-46df-a90c-73160f0854b4,18.0,13.0,32.0,34.0,498.0,310.0,95.0,50.0,365.0,455.0,3793.0,3553.0,566.0,564.0,5.0,5.0,5.0,5.0,10.0,10.0,86.0,115.0,876.0,1095.0,86.0,114.0,43180.0,36262.0
3258d5c4-4f3f-4722-966a-1bd619c9229f,12.0,12.0,28.0,30.0,360.0,305.0,50.0,110.0,230.0,330.0,1789.0,2651.0,583.0,551.0,5.0,5.0,5.0,5.0,10.0,10.0,107.0,152.0,876.0,1314.0,107.0,153.0,38942.0,46965.0
