device_id,f_steps_avg_length_active_bout_minutes_ev_half_sem_2017-01-18,f_steps_avg_length_active_bout_minutes_ev_half_sem_2017-03-01,f_steps_avg_length_sedentary_bout_minutes_ev_half_sem_2017-01-18,f_steps_avg_length_sedentary_bout_minutes_ev_half_sem_2017-03-01,f_steps_avg_step_active_bout_ev_half_sem_2017-01-18,f_steps_avg_step_active_bout_ev_half_sem_2017-03-01,f_steps_max_length_active_bout_minutes_ev_half_sem_2017-01-18,f_steps_max_length_active_bout_minutes_ev_half_sem_2017-03-01,f_steps_max_length_sedentary_bout_minutes_ev_half_sem_2017-01-18,f_steps_max_length_sedentary_bout_minutes_ev_half_sem_2017-03-01,f_steps_max_step_active_bout_ev_half_sem_2017-01-18,f_steps_max_step_active_bout_ev_half_sem_2017-03-01,f_steps_max_steps_ev_half_sem_2017-01-18,f_steps_max_steps_ev_half_sem_2017-03-01,f_steps_min_length_active_bout_minutes_ev_half_sem_2017-01-18,f_steps_min_length_active_bout_minutes_ev_half_sem_2017-03-01,f_steps_min_length_sedentary_bout_minutes_ev_half_sem_2017-01-18,f_steps_min_length_sedentary_bout_minutes_ev_half_sem_2017-03-01,f_steps_min_step_active_bout_ev_half_sem_2017-01-18,f_steps_min_step_active_bout_ev_half_sem_2017-03-01,f_steps_num_active_bout_ev_half_sem_2017-01-18,f_steps_num_active_bout_ev_half_sem_2017-03-01,f_steps_num_samples_steps_ev_half_sem_2017-01-18,f_steps_num_samples_steps_ev_half_sem_2017-03-01,f_steps_num_sedentary_bout_ev_half_sem_2017-01-18,f_steps_num_sedentary_bout_ev_half_sem_2017-03-01,f_steps_sum_steps_ev_half_sem_2017-01-18,f_steps_sum_steps_ev_half_sem_2017-03-01
0d8b3688-0cba-4323-85fe-00f15785de38,58,69.0,95,125.0,855,1686.0,1120,1125.0,1425,2525.0,37698,103743.0,691,563.0,5,5.0,5,5.0,10,10.0,392,118.0,12096,4608.0,392,118.0,340554,199508.0
1391f4f7-4e70-4d67-92f1-db819e07c0c9,37,51.0,102,123.0,481,767.0,1105,1135.0,1420,2890.0,30214,24021.0,599,560.0,5,5.0,5,5.0,10,10.0,421,106.0,11808,3744.0,422,107.0,210467,83527.0
165de20b-6080-4f1d-9354-ec66de50263c,37,77.0,385,378.0,650,2788.0,1100,1105.0,7120,2815.0,14502,99471.0,603,607.0,5,5.0,5,5.0,10,10.0,91,82.0,7776,7488.0,92,82.0,61254,229597.0
174bcad9-6cf8-4f97-bcc5-38a6f4c42c1d,85,82.0,114,119.0,1756,2090.0,1185,1285.0,2590,1660.0,70590,89660.0,779,783.0,5,5.0,5,5.0,10,10.0,295,321.0,11808,12960.0,295,321.0,522527,675432.0
17c8318d-0d75-41a8-bfef-eb8c043db1fb,65,68.0,72,77.0,1291,1798.0,1175,1240.0,2545,1440.0,99268,117997.0,688,725.0,5,5.0,5,5.0,10,10.0,427,620.0,11808,18144.0,426,620.0,560436,1125063.0
182bbb8f-cd30-4958-9342-ce0c91659810,93,84.0,68,79.0,2191,2265.0,1225,1225.0,1445,1445.0,96222,107497.0,621,750.0,5,5.0,5,5.0,10,10.0,355,517.0,11520,16992.0,356,518.0,781117,1183253.0
1973b69d-5fe7-4ff7-94bb-17d5d875499f,21,51.0,208,192.0,822,1344.0,1110,1145.0,1315,1470.0,70178,88583.0,619,752.0,5,5.0,5,5.0,10,10.0,262,372.0,12096,18144.0,263,373.0,218058,501346.0
1a4011ac-0990-4560-8e1a-f9f07b54b7ec,56,192.0,158,287.0,1336,3063.0,1130,1105.0,2850,1480.0,75600,17712.0,613,521.0,5,5.0,5,5.0,10,10.0,269,12.0,11520,1152.0,268,12.0,361969,36805.0
1be1f081-12eb-4151-bee7-04f39b0ada17,57,59.0,84,107.0,1150,1461.0,1130,1180.0,1300,2630.0,72144,125401.0,854,818.0,5,5.0,5,5.0,10,10.0,425,542.0,12096,18144.0,426,542.0,500180,800925.0
1c67b4f0-964c-4aef-83a1-89a0248f80b3,60,58.0,92,115.0,1375,1694.0,1200,1200.0,2590,3985.0,95195,100674.0,612,844.0,5,5.0,5,5.0,10,10.0,397,470.0,12096,16416.0,396,470.0,551939,808427.0
