device_id,f_steps_avg_length_active_bout_minutes_mo_wkdy_half_sem_2017-01-18,f_steps_avg_length_active_bout_minutes_mo_wkdy_half_sem_2017-03-01,f_steps_avg_length_sedentary_bout_minutes_mo_wkdy_half_sem_2017-01-18,f_steps_avg_length_sedentary_bout_minutes_mo_wkdy_half_sem_2017-03-01,f_steps_avg_step_active_bout_mo_wkdy_half_sem_2017-01-18,f_steps_avg_step_active_bout_mo_wkdy_half_sem_2017-03-01,f_steps_max_length_active_bout_minutes_mo_wkdy_half_sem_2017-01-18,f_steps_max_length_active_bout_minutes_mo_wkdy_half_sem_2017-03-01,f_steps_max_length_sedentary_bout_minutes_mo_wkdy_half_sem_2017-01-18,f_steps_max_length_sedentary_bout_minutes_mo_wkdy_half_sem_2017-03-01,f_steps_max_step_active_bout_mo_wkdy_half_sem_2017-01-18,f_steps_max_step_active_bout_mo_wkdy_half_sem_2017-03-01,f_steps_max_steps_mo_wkdy_half_sem_2017-01-18,f_steps_max_steps_mo_wkdy_half_sem_2017-03-01,f_steps_min_length_active_bout_minutes_mo_wkdy_half_sem_2017-01-18,f_steps_min_length_active_bout_minutes_mo_wkdy_half_sem_2017-03-01,f_steps_min_length_sedentary_bout_minutes_mo_wkdy_half_sem_2017-01-18,f_steps_min_length_sedentary_bout_minutes_mo_wkdy_half_sem_2017-03-01,f_steps_min_step_active_bout_mo_wkdy_half_sem_2017-01-18,f_steps_min_step_active_bout_mo_wkdy_half_sem_2017-03-01,f_steps_num_active_bout_mo_wkdy_half_sem_2017-01-18,f_steps_num_active_bout_mo_wkdy_half_sem_2017-03-01,f_steps_num_samples_steps_mo_wkdy_half_sem_2017-01-18,f_steps_num_samples_steps_mo_wkdy_half_sem_2017-03-01,f_steps_num_sedentary_bout_mo_wkdy_half_sem_2017-01-18,f_steps_num_sedentary_bout_mo_wkdy_half_sem_2017-03-01,f_steps_sum_steps_mo_wkdy_half_sem_2017-01-18,f_steps_sum_steps_mo_wkdy_half_sem_2017-03-01
0d8b3688-0cba-4323-85fe-00f15785de38,20,13.0,46,60.0,650,276.0,165,40.0,535,1170.0,5084,1488.0,563,480.0,5,5.0,5,5.0,10,10.0,164,54.0,2190,803.0,164,55.0,107431,15093.0
1391f4f7-4e70-4d67-92f1-db819e07c0c9,17,21.0,24,33.0,489,554.0,115,155.0,420,470.0,3830,2452.0,574,569.0,5,5.0,5,5.0,10,10.0,250,65.0,2117,730.0,250,66.0,123499,36286.0
165de20b-6080-4f1d-9354-ec66de50263c,13,13.0,104,95.0,476,691.0,35,50.0,1180,725.0,1490,4612.0,606,639.0,5,5.0,5,5.0,12,10.0,59,67.0,1387,1460.0,59,67.0,28299,46518.0
174bcad9-6cf8-4f97-bcc5-38a6f4c42c1d,15,18.0,64,64.0,513,559.0,170,135.0,660,620.0,9192,7901.0,625,591.0,5,5.0,5,5.0,10,10.0,136,135.0,2190,2263.0,137,136.0,70488,76001.0
17c8318d-0d75-41a8-bfef-eb8c043db1fb,18,18.0,29,31.0,586,478.0,110,130.0,425,375.0,6214,6459.0,704,674.0,5,5.0,5,5.0,10,10.0,218,331.0,2117,3285.0,218,331.0,128810,160114.0
182bbb8f-cd30-4958-9342-ce0c91659810,13,15.0,42,42.0,466,471.0,55,470.0,175,435.0,2724,14312.0,603,604.0,5,5.0,5,5.0,10,10.0,185,258.0,2044,2993.0,185,259.0,87168,123165.0
1973b69d-5fe7-4ff7-94bb-17d5d875499f,12,14.0,63,93.0,426,511.0,35,45.0,560,870.0,1288,1861.0,601,606.0,5,5.0,5,5.0,10,10.0,145,152.0,2190,3285.0,145,153.0,62246,78066.0
1a4011ac-0990-4560-8e1a-f9f07b54b7ec,12,13.0,64,68.0,373,279.0,65,50.0,725,355.0,4787,1404.0,650,533.0,5,5.0,5,5.0,10,10.0,131,17.0,2044,292.0,132,18.0,49407,4811.0
1be1f081-12eb-4151-bee7-04f39b0ada17,15,15.0,36,44.0,461,476.0,50,75.0,300,480.0,2466,2617.0,663,680.0,5,5.0,5,5.0,10,10.0,209,273.0,2190,3285.0,209,274.0,97153,130869.0
1c67b4f0-964c-4aef-83a1-89a0248f80b3,12,12.0,108,96.0,301,293.0,45,65.0,815,600.0,1303,2281.0,627,592.0,5,5.0,5,5.0,10,10.0,90,137.0,2190,2993.0,91,138.0,27709,41012.0
