device_id,f_wifi_most_frequent_wifi_mo_wkdy_half_sem_2017-01-18,f_wifi_most_frequent_wifi_mo_wkdy_half_sem_2017-03-01,f_wifi_number_samples_wifi_mo_wkdy_half_sem_2017-01-18,f_wifi_number_samples_wifi_mo_wkdy_half_sem_2017-03-01,f_wifi_number_unique_wifi_hotspots_mo_wkdy_half_sem_2017-01-18,f_wifi_number_unique_wifi_hotspots_mo_wkdy_half_sem_2017-03-01
0d25f3b7-d43e-4ccf-a8ed-e1feb0aa40aa,00:1a:1e:8c:61:81,00:1a:1e:8c:61:81,475.0,632.0,95.0,40.0
0d8b3688-0cba-4323-85fe-00f15785de38,00:1a:1e:30:df:71,e0:88:5d:3e:1a:37,661.0,1019.0,93.0,101.0
1391f4f7-4e70-4d67-92f1-db819e07c0c9,84:d4:7e:ff:94:93,00:24:6c:d0:a3:71,25848.0,163620.0,2381.0,4892.0
15d016f2-a52e-4f2d-85ac-f32c2c4526db,9c:1c:12:e0:c1:31,9c:1c:12:e0:c1:31,880.0,1135.0,84.0,93.0
165de20b-6080-4f1d-9354-ec66de50263c,ac:a3:1e:fc:a6:11,ac:a3:1e:fc:a6:11,253.0,777.0,43.0,104.0
174bcad9-6cf8-4f97-bcc5-38a6f4c42c1d,24:de:c6:f1:0c:71,,421.0,596.0,81.0,105.0
17c8318d-0d75-41a8-bfef-eb8c043db1fb,24:de:c6:f0:8e:d3,24:de:c6:f0:8e:d3,114.0,822.0,28.0,113.0
182bbb8f-cd30-4958-9342-ce0c91659810,,9c:1c:12:99:d5:b3,,13134.0,,1832.0
1973b69d-5fe7-4ff7-94bb-17d5d875499f,9c:1c:12:e0:e1:d1,9c:1c:12:b0:ee:41,584.0,817.0,75.0,93.0
1a4011ac-0990-4560-8e1a-f9f07b54b7ec,9c:1c:12:bf:de:11,9c:1c:12:bf:de:11,396.0,392.0,50.0,49.0
1be1f081-12eb-4151-bee7-04f39b0ada17,,74:da:38:3f:29:a6,,475938.0,,12881.0
1bf4883c-0056-4d72-bd4a-de1f3aec0387,,,,101.0,,15.0
1c67b4f0-964c-4aef-83a1-89a0248f80b3,00:1a:1e:8c:d2:c1,,469.0,760.0,25.0,35.0
1e3ed4f9-8c22-4b96-8a5c-c324582b9860,ac:a3:1e:d2:59:b0,80:29:94:61:9f:60,147.0,272.0,34.0,30.0
1e6cee1a-1bce-45b5-9cef-eab3084a5187,9c:1c:12:bf:e5:51,9c:1c:12:bf:e5:51,541.0,629.0,56.0,79.0
1e6e0199-be64-4525-9b86-ae0038022368,00:1a:1e:8a:eb:d1,00:1a:1e:8a:eb:d1,803.0,857.0,64.0,58.0
209854a0-471d-42fa-856f-54b5d1948481,00:1a:1e:88:2e:01,00:1a:1e:88:2e:01,76571.0,34691.0,2151.0,939.0
24f7d497-1c92-4372-976d-81dd15d7b1fb,,ac:a3:1e:f4:da:70,,791.0,,79.0
2cafda94-dca2-4401-ae3c-aa1bdf3ce6ca,24:de:c6:f1:1b:d1,24:de:c6:f1:1b:d1,268526.0,742231.0,6421.0,8242.0
2dd9d631-d2d5-4afa-9d1f-0a3eac129ec0,ac:a3:1e:f3:04:f1,,319061.0,,5488.0,
2ef2702c-0c30-40d8-91c0-35ad8829465b,00:1a:1e:8c:ca:c3,00:1a:1e:8c:61:81,62416.0,249441.0,2589.0,6425.0
2fb7fbc1-068f-4a54-a8ee-a41c99d0f7da,ac:a3:1e:d2:5c:90,ac:a3:1e:d2:5c:90,806.0,1047.0,106.0,110.0
318f91af-9b11-42f5-bdcd-7c9e35761da5,40:e3:d6:da:1a:13,40:e3:d6:da:1a:13,725.0,1039.0,91.0,126.0
31c395a9-0128-46df-a90c-73160f0854b4,84:d4:7e:ff:7f:d3,84:d4:7e:ff:7f:d3,694.0,1004.0,80.0,91.0
3258d5c4-4f3f-4722-966a-1bd619c9229f,b0:5a:da:71:ca:d7,,259187.0,27541.0,4704.0,398.0
32d4b802-7471-49bd-ad59-e663b0d98682,,,715.0,956.0,91.0,116.0
34944ff7-1853-4fec-8d7d-73fc52bfa824,9c:1c:12:bf:e5:a3,,12366.0,,219.0,
3698dbcf-6b9e-4b00-a15a-f2cb26e6639d,9c:1c:12:e0:d6:91,9c:1c:12:e0:d6:91,615.0,924.0,60.0,103.0
