device_id,f_wifi_number_samples_wifi_ni_sem_2017-01-18,f_wifi_number_unique_wifi_hotspots_ni_sem_2017-01-18,f_wifi_most_frequent_wifi_ni_sem_2017-01-18
0d25f3b7-d43e-4ccf-a8ed-e1feb0aa40aa,1443,84,00:1a:1e:8c:61:81
0d8b3688-0cba-4323-85fe-00f15785de38,1506,28,00:1a:1e:30:df:71
1391f4f7-4e70-4d67-92f1-db819e07c0c9,133343,2590,00:24:6c:d0:a0:b1
15d016f2-a52e-4f2d-85ac-f32c2c4526db,2679,31,9c:1c:12:e0:c1:31
165de20b-6080-4f1d-9354-ec66de50263c,1149,39,ac:a3:1e:fc:a6:11
174bcad9-6cf8-4f97-bcc5-38a6f4c42c1d,1406,78,24:de:c6:f1:0c:71
17c8318d-0d75-41a8-bfef-eb8c043db1fb,1214,75,24:de:c6:f0:8e:d3
182bbb8f-cd30-4958-9342-ce0c91659810,6774,218,24:de:c6:f1:17:d0
1973b69d-5fe7-4ff7-94bb-17d5d875499f,1926,100,9c:1c:12:e0:e1:d1
1a4011ac-0990-4560-8e1a-f9f07b54b7ec,1051,69,9c:1c:12:bf:de:11
1be1f081-12eb-4151-bee7-04f39b0ada17,245979,9389,74:da:38:3f:29:a6
1bf4883c-0056-4d72-bd4a-de1f3aec0387,144,7,00:1a:1e:88:2e:01
1c67b4f0-964c-4aef-83a1-89a0248f80b3,1597,55,
1e3ed4f9-8c22-4b96-8a5c-c324582b9860,599,33,ac:a3:1e:d2:59:b0
1e6cee1a-1bce-45b5-9cef-eab3084a5187,1823,82,9c:1c:12:bf:e5:51
1e6e0199-be64-4525-9b86-ae0038022368,2253,30,00:1a:1e:8a:eb:d1
209854a0-471d-42fa-856f-54b5d1948481,122098,1459,00:1a:1e:88:2e:01
24f7d497-1c92-4372-976d-81dd15d7b1fb,954,42,ac:a3:1e:f4:da:70
2cafda94-dca2-4401-ae3c-aa1bdf3ce6ca,1733647,9610,24:de:c6:f1:1b:c2
2dd9d631-d2d5-4afa-9d1f-0a3eac129ec0,186989,4065,ac:a3:1e:f3:04:f1
2ef2702c-0c30-40d8-91c0-35ad8829465b,222729,1404,00:1a:1e:8c:ca:c1
2fb7fbc1-068f-4a54-a8ee-a41c99d0f7da,1786,67,ac:a3:1e:d2:5c:90
318f91af-9b11-42f5-bdcd-7c9e35761da5,2167,40,24:de:c6:f1:20:71
31c395a9-0128-46df-a90c-73160f0854b4,1802,82,24:de:c6:f1:32:f1
3258d5c4-4f3f-4722-966a-1bd619c9229f,271538,2580,ac:a3:1e:f2:fa:a0
32d4b802-7471-49bd-ad59-e663b0d98682,1925,65,
34944ff7-1853-4fec-8d7d-73fc52bfa824,20605,323,9c:1c:12:bf:e5:a3
3698dbcf-6b9e-4b00-a15a-f2cb26e6639d,2124,76,9c:1c:12:e0:d6:91
38861b6b-d04b-4f1f-8c17-c3c0a9f0a221,2446,44,00:1a:1e:8d:38:a1
38edf5e3-bd76-4ec3-b1fc-c134915743c7,1212,41,00:1a:1e:8c:a9:01
395bf3f4-ec02-494f-8f45-30ab62eda8e7,2596,77,ac:a3:1e:f2:f6:31
3b9d6c27-13cc-47d9-b00e-af2e0d3d0009,1482,143,ac:a3:1e:f3:23:d1
3bf51a01-8625-4c9b-a16c-24d10ccf8ae5,1247,87,9c:1c:12:bf:e5:41
3dcb435d-656f-405f-81a1-49f7eae6c25e,69766,3054,9c:1c:12:bf:e5:62
3fa86602-fc33-4c6f-9b3e-2cebd95104ee,2158,54,ac:a3:1e:fc:cb:11
3ff2b7eb-622c-4ae9-9d89-7d2af5430d34,1949,75,9c:1c:12:bf:d4:91
417abe6d-ef78-4f01-b632-844af6cb8fe7,808,36,24:de:c6:f0:8e:93
447a64e5-f754-4082-b0fa-0000f34eeda8,2343,82,
44ff689e-4138-43cc-8f6d-2d8323125ee1,155572,5980,""""""
4522b36a-6215-4768-b42a-55e79677d4ec,307836,2511,24:de:c6:f1:1b:c2
49b6c762-deaf-4cbf-8cb6-557ca65d395c,111207,1478,00:1a:1e:8d:67:c3
4ba3ace5-f982-49c5-883a-0329d059d431,639,5,24:de:c6:f1:10:91
4d4c47ec-5a3c-4c9c-b32b-83da30500857,210753,775,ac:a3:1e:d2:57:00
4de0beb1-cfa8-4410-809d-d05322b1a0c8,2447,69,00:24:6c:d0:a2:73
4e20289a-32ca-47be-a2c5-f0bd66ab9176,1150,106,9c:1c:12:e0:e2:91
5542666d-5bf4-4a1b-b17c-e3580c4cd773,1660,66,ac:a3:1e:f3:0a:91
5792d203-ec62-4b40-b0a2-29969224e3fb,2043,121,ac:a3:1e:f3:08:51
5a5e44dd-1b8f-4c26-ba16-65593a8b59eb,1911,12,ac:a3:1e:e2:6b:f1
5a6686fd-5017-4c17-9dd4-4081d5448b7d,741,8,24:de:c6:f1:14:b1
5d02f383-d24c-4902-b728-1380c99105ee,569429,3658,ac:a3:1e:f3:20:02
626aaffc-c174-48ca-a179-cab025b9bc98,1702,48,ac:a3:1e:d2:55:70
649357ac-11ab-4fc7-acd2-816a3844d81b,277758,5701,ac:a3:1e:f3:13:91
64e25c38-ee68-4e06-8990-09ba71759cf1,779783,3495,00:1a:1e:8a:f8:e1
65e91776-4319-4b41-ae66-28db6473fc60,2469,128,24:de:c6:f1:0d:71
65f4b507-b48a-416d-ac1f-2678e3f954d8,1192,80,24:de:c6:f1:17:d1
66368d24-f87e-4db0-ab9d-c450c33becf3,2008,90,00:1a:1e:88:1c:41
66b66952-ae50-46c4-8f79-1d2117ac6691,384521,5061,24:de:c6:f1:1d:b1
687020d4-2b4c-483d-9124-ca34195f8af7,740,28,24:de:c6:f0:e1:f1
699a92cf-42b7-4a29-bd1b-edf43d06dd54,970291,13516,9c:1c:12:e0:e1:d1
69d0a3bb-40c8-42a8-838d-1bb275f28d1b,1829,58,9c:1c:12:c7:15:d1
6afbdb8a-a1cf-4248-852a-24e56ee5766a,2493,150,24:de:c6:f1:14:31
6d73aa4b-1be4-426b-8d6b-c811bd2170fa,351713,5693,9c:1c:12:c6:5e:71
6e12238e-2105-4bd3-be42-9b2ce1bf4946,442952,1600,ac:a3:1e:d2:59:a0
6e60c67a-9bb0-4818-9625-1afe9788fe6b,728,33,ac:a3:1e:f2:f2:71
6fb4842f-8beb-4539-8b18-e21d89d3254e,2177,12,
7230d0d5-fab8-4462-9952-69aee6866b04,2513,72,9c:1c:12:bf:de:01
7398824b-a04d-4252-afe8-d0f392a5cd48,1538,61,9c:1c:12:e0:d8:d1
785e9e8e-4ab0-4686-a95e-a25c6c2e2eee,745301,10325,24:de:c6:f1:1d:42
79d3d50d-b736-43ba-8979-8ba6ff3d1e48,2214,12,
7afaa986-9de6-4efe-9057-3fa969b1760c,1419,45,24:de:c6:f1:2a:b3
811f021c-0ecf-4264-967d-f02f93c3d711,898,41,ac:a3:1e:d2:3f:50
81443789-41c5-4277-9bbb-55336120c0c9,2633,106,24:de:c6:f0:9c:50
848429d2-612d-4b1c-82ff-e51dc40d3d07,1892,73,24:de:c6:f0:8e:d3
85396fa9-14d7-47d6-9688-1771e6c3fa75,2250,137,9c:1c:12:bf:eb:e1
86f36925-3207-486e-9f7f-c229efaae9c0,29526,1610,00:1a:1e:8d:67:f2
87046549-2960-43b1-b1b9-358aac851b8a,1473,40,24:de:c6:f1:0d:b1
876f9317-9823-4ecb-9290-1b1cbd2ded3c,1874,31,00:1a:1e:30:df:71
88d687ca-537d-4592-8691-22feeb116122,1084,74,9c:1c:12:bf:ec:81
8cf6b2a5-ca26-48cd-86e0-d3eca61d264b,1229,11,
8e0a48eb-c371-4932-82ab-d9458c31b77c,1223,52,ac:a3:1e:f3:0e:31
924b4f99-c800-4f5f-9159-8b47a317ef34,1946,81,24:de:c6:f1:20:71
94aac48e-7cbb-4a8c-b47a-052d28eefa5a,1752,52,00:1a:1e:8d:38:a1
94c99ead-4f3e-4c68-8f51-08af25c64920,3023,70,ac:a3:1e:f3:1f:11
