device_id,f_wifi_most_frequent_wifi_ni_wkend_half_sem_2017-01-18,f_wifi_most_frequent_wifi_ni_wkend_half_sem_2017-03-01,f_wifi_number_samples_wifi_ni_wkend_half_sem_2017-01-18,f_wifi_number_samples_wifi_ni_wkend_half_sem_2017-03-01,f_wifi_number_unique_wifi_hotspots_ni_wkend_half_sem_2017-01-18,f_wifi_number_unique_wifi_hotspots_ni_wkend_half_sem_2017-03-01
0d25f3b7-d43e-4ccf-a8ed-e1feb0aa40aa,,,247.0,191.0,28.0,21.0
0d8b3688-0cba-4323-85fe-00f15785de38,00:1a:1e:30:df:71,e0:88:5d:3e:1a:37,221.0,334.0,14.0,14.0
1391f4f7-4e70-4d67-92f1-db819e07c0c9,00:24:6c:d0:a0:a1,00:24:6c:d0:a0:a2,7137.0,30587.0,180.0,1099.0
15d016f2-a52e-4f2d-85ac-f32c2c4526db,9c:1c:12:e0:c1:31,9c:1c:12:e0:c1:31,297.0,416.0,4.0,11.0
165de20b-6080-4f1d-9354-ec66de50263c,ac:a3:1e:fc:a6:11,ac:a3:1e:fc:a6:11,59.0,197.0,5.0,17.0
174bcad9-6cf8-4f97-bcc5-38a6f4c42c1d,24:de:c6:f1:0c:71,,221.0,226.0,16.0,10.0
17c8318d-0d75-41a8-bfef-eb8c043db1fb,9c:1c:12:b5:71:10,ac:a3:1e:f2:e9:31,8.0,317.0,5.0,42.0
1973b69d-5fe7-4ff7-94bb-17d5d875499f,04:bd:88:5b:ac:d5,9c:1c:12:b0:ee:41,186.0,413.0,16.0,31.0
1a4011ac-0990-4560-8e1a-f9f07b54b7ec,9c:1c:12:bf:de:11,,128.0,142.0,15.0,18.0
1be1f081-12eb-4151-bee7-04f39b0ada17,,74:da:38:3f:29:a6,,68219.0,,5642.0
1bf4883c-0056-4d72-bd4a-de1f3aec0387,,00:18:01:e6:c2:3a,,36.0,,2.0
1c67b4f0-964c-4aef-83a1-89a0248f80b3,,,231.0,283.0,28.0,17.0
1e3ed4f9-8c22-4b96-8a5c-c324582b9860,ac:a3:1e:d2:59:b0,,139.0,49.0,22.0,9.0
1e6cee1a-1bce-45b5-9cef-eab3084a5187,9c:1c:12:bf:e5:51,9c:1c:12:bf:e5:51,262.0,306.0,31.0,40.0
1e6e0199-be64-4525-9b86-ae0038022368,00:1a:1e:8a:eb:d1,00:1a:1e:8a:eb:d1,277.0,295.0,10.0,12.0
209854a0-471d-42fa-856f-54b5d1948481,00:1a:1e:88:2e:01,00:1a:1e:88:2e:01,37842.0,7220.0,642.0,419.0
24f7d497-1c92-4372-976d-81dd15d7b1fb,,9c:1c:12:b5:89:50,,200.0,,8.0
2cafda94-dca2-4401-ae3c-aa1bdf3ce6ca,24:de:c6:f1:1b:d1,24:de:c6:f1:1b:c2,90453.0,503940.0,2201.0,4218.0
2dd9d631-d2d5-4afa-9d1f-0a3eac129ec0,ac:a3:1e:f3:13:11,,66189.0,,2937.0,
2ef2702c-0c30-40d8-91c0-35ad8829465b,00:1a:1e:8c:61:81,00:1a:1e:8c:61:81,18649.0,54723.0,964.0,574.0
2fb7fbc1-068f-4a54-a8ee-a41c99d0f7da,ac:a3:1e:d2:5c:90,ac:a3:1e:d2:5c:90,305.0,186.0,38.0,12.0
318f91af-9b11-42f5-bdcd-7c9e35761da5,9c:1c:12:e0:e1:d1,9c:1c:12:b7:bb:d1,205.0,413.0,10.0,21.0
